DIRECTORIO,SECUENCIA_P,ORDEN,CLASE,DPTO,FEX_C18,P3271,P6040,P6030S1,P6030S3,P6050,P6070,P6080,P2057,P6081,P6083,P6090,P6100,P6160,P6170,P3042,INGLABO,P6800,P6430,P6426,RAMA2D_R4,P6920
8238974,1,1,2,8,67.4841,2,66,9.0,1958.0,1,4.0,6,1,3,3,1,3.0,1.0,2.0,5.0,950000.0,52.0,4.0,84.0,1.0,2.0
8238974,1,2,2,8,67.4841,1,32,6.0,1993.0,3,6.0,6,1,2,1,1,3.0,1.0,2.0,5.0,,54.0,6.0,84.0,1.0,2.0
8238975,1,1,2,8,54.338,1,76,1.0,1949.0,1,5.0,6,1,3,3,1,3.0,1.0,2.0,3.0,700000.0,40.0,4.0,660.0,1.0,2.0
8238975,1,2,2,8,54.338,1,49,11.0,1975.0,9,2.0,6,1,3,3,1,3.0,2.0,2.0,1.0,,,,,,
8238975,1,3,2,8,54.338,2,52,10.0,1972.0,13,2.0,6,1,2,2,1,3.0,2.0,2.0,1.0,2000000.0,40.0,4.0,2.0,1.0,2.0
8238976,1,1,2,8,58.1038,1,68,12.0,1956.0,1,5.0,6,1,3,3,1,3.0,2.0,2.0,1.0,600000.0,40.0,4.0,60.0,1.0,2.0
8238977,1,1,2,8,58.1038,1,63,3.0,1962.0,1,4.0,6,1,3,3,1,3.0,1.0,2.0,5.0,1300000.0,60.0,4.0,469.0,1.0,2.0
8238978,1,1,2,8,46.6003,1,72,8.0,1952.0,1,2.0,6,1,3,3,1,3.0,2.0,2.0,1.0,,,,,,
8238978,1,2,2,8,46.6003,2,34,,,2,2.0,6,1,2,2,1,3.0,2.0,2.0,1.0,470000.0,70.0,1.0,240.0,1.0,2.0
8238979,1,1,2,8,58.1038,1,58,12.0,1966.0,1,2.0,6,1,3,3,1,3.0,1.0,2.0,3.0,750000.0,52.0,4.0,156.0,1.0,2.0
8238980,1,1,2,8,94.8644,1,23,3.0,2002.0,1,2.0,6,1,2,2,1,1.0,1.0,2.0,4.0,1423500.0,47.0,1.0,1.0,50.0,1.0
8238980,1,2,2,8,94.8644,2,24,9.0,2000.0,2,2.0,6,1,2,2,1,3.0,1.0,2.0,4.0,,,,,,
8238980,1,3,2,8,94.8644,2,7,7.0,2017.0,3,,6,1,1,1,1,3.0,1.0,1.0,3.0,,,,,,
8238980,1,4,2,8,94.8644,2,5,3.0,2020.0,3,,6,1,1,1,1,3.0,2.0,1.0,2.0,,,,,,
8238980,1,5,2,8,94.8644,1,3,1.0,2022.0,3,,6,1,1,1,1,3.0,2.0,2.0,1.0,,,,,,
8238980,1,6,2,8,94.8644,1,1,12.0,2023.0,3,,6,1,1,1,1,3.0,,,,,,,,,
8238981,1,1,2,8,37.7148,1,71,5.0,1954.0,1,3.0,6,1,3,3,1,3.0,1.0,2.0,4.0,800000.0,30.0,4.0,78.0,1.0,2.0
8238981,1,2,2,8,37.7148,2,67,1.0,1958.0,2,3.0,6,2,2,3,1,3.0,1.0,2.0,5.0,,,,,,
8238981,1,3,2,8,37.7148,1,72,11.0,1952.0,9,4.0,6,1,3,2,1,3.0,1.0,2.0,4.0,,16.0,6.0,6.0,1.0,2.0
8238982,1,1,2,8,58.1038,1,55,3.0,1970.0,1,2.0,6,1,3,2,1,3.0,1.0,2.0,5.0,1100000.0,56.0,4.0,180.0,1.0,2.0
8238983,1,1,2,8,68.7342,1,55,3.0,1970.0,1,2.0,6,1,3,2,1,1.0,1.0,2.0,5.0,1900000.0,60.0,1.0,4.0,85.0,1.0
8238983,1,2,2,8,68.7342,2,40,4.0,1985.0,2,2.0,6,1,3,2,1,3.0,1.0,2.0,5.0,,,,,,
8238983,1,3,2,8,68.7342,1,19,11.0,2005.0,3,6.0,6,1,2,1,1,3.0,1.0,2.0,3.0,1200000.0,70.0,4.0,3.0,49.0,2.0
8238984,1,1,1,8,2162.2547,2,48,4.0,1977.0,1,2.0,5,1,3,2,1,3.0,1.0,2.0,5.0,,,,,,
8238984,1,2,1,8,2162.2547,1,40,8.0,1984.0,2,2.0,5,1,3,2,2,,2.0,2.0,1.0,600000.0,48.0,4.0,48.0,41.0,2.0
8238985,1,1,1,8,2387.824,1,40,10.0,1984.0,1,6.0,5,1,3,2,1,3.0,1.0,2.0,3.0,600000.0,48.0,4.0,48.0,41.0,2.0
8238986,1,1,1,8,1721.317,2,31,9.0,1993.0,1,4.0,6,1,2,2,1,3.0,2.0,2.0,1.0,250000.0,40.0,4.0,4.0,96.0,2.0
8238986,1,2,1,8,1721.317,1,13,8.0,2011.0,3,6.0,5,1,2,1,1,3.0,1.0,2.0,3.0,,,,,,
8238986,1,3,1,8,1721.317,1,10,3.0,2015.0,3,6.0,5,1,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8238986,1,4,1,8,1721.317,1,10,3.0,2015.0,3,6.0,5,1,2,1,1,3.0,1.0,1.0,3.0,,,,,,
8238986,1,5,1,8,1721.317,2,6,3.0,2019.0,3,,5,1,2,1,1,3.0,2.0,1.0,3.0,,,,,,
8238987,1,1,1,70,465.5532,1,61,12.0,1963.0,1,2.0,6,2,2,3,1,3.0,1.0,2.0,4.0,600000.0,44.0,4.0,120.0,92.0,2.0
8238987,1,2,1,70,465.5532,2,56,9.0,1968.0,2,2.0,6,2,3,2,1,3.0,1.0,2.0,4.0,,,,,,
8238988,1,1,1,70,1214.4908,1,28,1.0,1997.0,1,2.0,6,2,2,2,1,3.0,1.0,2.0,5.0,1240000.0,70.0,1.0,60.0,47.0,2.0
8238988,1,2,1,70,1214.4908,2,23,12.0,2001.0,2,2.0,6,2,2,2,1,3.0,1.0,2.0,5.0,,10.0,6.0,24.0,47.0,2.0
8238988,1,3,1,70,1214.4908,1,5,8.0,2019.0,3,,6,2,1,1,1,3.0,2.0,1.0,2.0,,,,,,
8238989,1,1,1,70,465.5532,1,66,6.0,1959.0,1,3.0,6,1,3,3,1,3.0,1.0,2.0,3.0,900000.0,16.0,4.0,180.0,42.0,2.0
8238989,1,2,1,70,465.5532,2,65,1.0,1960.0,2,3.0,6,2,3,3,1,3.0,1.0,2.0,5.0,150000.0,18.0,4.0,72.0,61.0,2.0
8238990,1,1,1,70,705.3526,1,59,3.0,1966.0,1,2.0,6,1,3,3,1,3.0,1.0,2.0,3.0,130000.0,30.0,4.0,120.0,95.0,2.0
8238990,1,2,1,70,705.3526,2,58,2.0,1967.0,2,2.0,6,1,2,3,1,3.0,1.0,2.0,3.0,390000.0,48.0,3.0,24.0,97.0,2.0
8238991,1,1,1,70,778.9672,1,71,7.0,1953.0,1,2.0,6,1,3,3,1,3.0,2.0,2.0,1.0,250000.0,35.0,4.0,360.0,1.0,2.0
8238991,1,2,1,70,778.9672,2,54,6.0,1970.0,2,2.0,6,1,3,2,1,3.0,2.0,2.0,1.0,,,,,,
8238992,1,1,1,70,850.7965,1,58,10.0,1966.0,1,3.0,6,1,3,2,1,3.0,1.0,2.0,3.0,600000.0,45.0,1.0,360.0,1.0,2.0
